pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,Cluster,Deficit_Tier
8342579,3,2,1,2,5,3,3,2,0,1,2,1,2,1,0,0,0,0,1,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,1,1,2,2,Well Equipped
2218952,3,4,1,1,5,0,2,0,0,2,1,1,0,0,0,0,0,0,6,0,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,0,0,0,0,0,0,1,1,2,2,2,Well Equipped
2686208,3,7,7,2,7,5,7,0,0,1,2,2,2,2,1,1,1,1,10,15,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,10,0,10,1,1,2,2,1,2,2,2,Well Equipped
3130889,3,5,2,1,8,0,6,0,0,2,4,4,6,6,0,0,0,0,8,20,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,11,0,0,0,0,1,1,1,2,2,2,Well Equipped
2222592,3,2,1,1,9,1,8,0,0,1,2,2,2,2,0,0,0,0,10,10,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,4,9,5,0,0,1,1,1,1,1,2,1,2,Well Equipped
9609703,3,4,1,1,10,1,10,0,0,1,4,4,5,5,0,0,0,0,10,10,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,3,10,0,0,0,0,0,3,1,1,2,2,2,Well Equipped
4441851,1,1,1,3,19,7,19,0,0,1,9,9,10,10,3,3,4,4,27,18,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,1,1,1,4,1,4,4,4,1,1,2,35,0,3,0,0,3,0,4,3,1,2,2,1,Moderate Deficit
4648692,3,10,11,1,10,2,10,0,0,1,3,3,1,1,0,0,1,1,6,8,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,4,12,0,12,1,0,2,2,1,2,2,2,Well Equipped
5673611,2,4,3,1,5,0,4,1,0,2,1,1,2,2,0,0,0,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,0,0,0,1,2,2,2,Well Equipped
2723698,3,11,3,1,8,1,7,0,0,2,2,2,2,2,1,1,0,0,6,6,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,6,2,0,0,0,1,2,1,1,2,2,2,Well Equipped
