pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn,Cluster,Deficit_Tier
3652591,2,1,1,0,0,1,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3661196,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Server Deficit
3662949,14,9,5,0,7,3,0,4,14,0,0,2,3,9,0,1,1,3,0,1,2,6,0,0,3,0,0,11,0,0,1,1,0,1,0,0,1,2,Well Equipped
3664926,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3669135,17,13,4,0,1,1,0,15,17,0,0,0,3,14,0,0,2,4,1,9,0,1,0,0,7,1,0,15,0,0,1,0,0,0,0,0,0,2,Well Equipped
3682249,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3704810,10,2,8,0,3,0,1,6,10,0,0,3,1,6,6,2,3,5,0,0,0,0,0,0,1,0,1,5,0,3,1,0,0,0,0,0,1,1,Moderate Deficit
3723403,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,Server Deficit
3728179,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Server Deficit
3730151,4,1,3,0,1,1,0,2,0,3,1,0,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,Server Deficit
3730865,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3733721,2,2,0,0,0,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3734254,2,1,1,0,0,1,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
3734840,13,11,2,0,1,0,1,11,10,3,0,7,2,4,0,3,0,1,4,4,0,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,1,2,Well Equipped
3744334,12,8,4,0,0,4,1,7,12,0,0,0,4,8,3,0,2,1,4,0,5,0,0,0,8,0,1,11,0,0,0,0,0,0,0,0,0,2,Well Equipped
